State or Nation,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Total Number of Fire Safety Deficiencies,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Total Number of Fire Safety Deficiencies,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Total Number of Fire Safety Deficiencies,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Number of Fines,Fine Amount in Dollars, Percent of Long Stay Residents Whose Need for Help with ADLs has Increased,Percent of Long Stay Residents Who Self Report Moderate to Severe Pain,Percent of High Risk Long Stay Residents With Pressure Ulcers,Percent of Long Stay Residents Who Lose Too Much Weight,Percent of Low Risk Long Stay Residents Who Lose Control of Their Bowel or Bladder,Percent of Long Stay Residents with a Catheter Inserted and Left in Their Bladder,Percent of Long Stay Residents With a Urinary Tract Infection,Percent of Long Stay Residents Who Have Depressive Symptoms,Percent of Long Stay Residents Who Were Physically Restrained,Percentage of long stay residents experiencing one or more falls with major injury,Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long stay residents who received an antipsychotic medication,Percentage of short stay residents who self-report moderate to severe pain,Percentage of short stay residents with pressure ulcers that are new or worsened,Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine,Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short stay residents who newly received an antipsychotic medication,Percentage of long stay residents whose ability to move independently worsened,Percentage of long stay residents who received an antianxiety or hypnotic medication,Percentage of short stay residents who made improvements in function,Percentage of short stay residents who were rehospitalized after a nursing home admission,Percentage of short stay residents who had an outpatient emergency department visit,Percentage of short stay residents who were successfully discharged to the community,Processing Date
NATION,7.2,,7.4,,7.1,,2.45,0.86,0.83,1.69,4.14,0.1,0.4,$12557.00,15.049284%,5.916531%,5.649465%,7.109369%,47.560108%,2.018793%,3.834843%,4.983653%,0.476606%,3.363468%,94.818895%,94.036204%,15.869215%,14.149991%,0.935656%,80.596255%,82.808819%,2.003565%,18.268155%,22.92977%,66.651282%,21.098149%,11.854757%,57.036304%,10/01/2017
AK,10.4,,10,,12.1,,4.12,0.72,2.06,2.78,6.9,0.15,0.6,$13083.00,17.757292%,21.40063%,4.641351%,7.798274%,35.061126%,2.8474%,3.633804%,6.388836%,0.68462%,1.961193%,97.064746%,94.354287%,10.810405%,34.092539%,2.371424%,85.759703%,78.851468%,1.031399%,21.021893%,18.973716%,73.303051%,12.200076%,8.222515%,68.127998%,10/01/2017
AL,4.3,,5.2,,5,,2.61,0.98,0.71,1.68,4.3,0.05,0.3,$16568.00,12.75424%,5.205444%,5.689923%,8.499144%,42.208267%,1.995909%,3.770282%,1.114495%,0.830993%,3.301294%,93.416851%,93.531188%,18.747706%,12.429965%,0.84907%,80.969505%,83.403691%,2.047152%,15.426631%,29.296019%,61.044482%,21.736501%,10.55891%,59.053121%,10/01/2017
AR,5.7,,6,,6.4,,2.85,0.99,0.56,1.55,4.4,0.06,0.5,$17112.00,14.667568%,5.496864%,5.519799%,6.59756%,37.754019%,2.383068%,3.825501%,2.256569%,0.525547%,3.943624%,96.251827%,95.510715%,15.41166%,12.855307%,0.974212%,79.561799%,83.442163%,2.278456%,15.78575%,25.840274%,68.163795%,24.889758%,15.955479%,52.440853%,10/01/2017
AZ,3.9,,6.6,,6.5,,2.64,1.04,1.07,2.12,4.75,0.15,0.2,$4245.00,13.958364%,7.613178%,5.709123%,6.357156%,58.468975%,2.07518%,2.867333%,2.419135%,0.289331%,2.884236%,96.668337%,96.970064%,14.816797%,16.141215%,0.480689%,88.017099%,91.296733%,1.340054%,19.851239%,22.193262%,64.187202%,21.455432%,11.792822%,62.798258%,10/01/2017
CA,12.1,,12.3,,11,,2.69,1.09,0.85,1.94,4.63,0.13,0.3,$7123.00,10.60605%,3.178761%,5.63965%,5.767136%,44.231476%,2.104399%,2.561953%,0.824119%,0.730849%,1.755302%,95.320883%,96.249596%,11.764897%,8.673505%,0.621955%,84.119509%,86.798119%,1.533434%,15.110936%,19.023683%,66.363094%,21.087206%,10.959115%,56.015924%,10/01/2017
CO,8.6,,8.7,,8.8,,2.46,0.67,1.06,1.73,4.19,0.1,0.4,$8637.00,14.888503%,7.540478%,4.146047%,7.407052%,48.489393%,2.183052%,2.828164%,3.848575%,0.293576%,3.610963%,93.225434%,89.476309%,14.611939%,16.536105%,0.724537%,74.1617%,75.63981%,1.655393%,17.432163%,16.455146%,67.375779%,18.166485%,12.380753%,58.585117%,10/01/2017
CT,6.4,,7.6,,8.3,,2.43,0.77,0.87,1.64,4.07,0.13,0.9,$6732.00,15.469186%,4.451036%,4.031921%,6.820405%,45.424251%,1.237152%,2.731427%,1.740667%,0.16663%,3.239846%,95.084663%,94.598685%,16.226161%,13.381893%,0.814747%,80.158845%,81.395565%,1.579847%,18.865784%,21.171429%,67.845379%,20.415373%,11.977917%,59.689401%,10/01/2017
DC,11.3,,10.7,,14.9,,2.9,0.84,1.47,2.31,5.21,0.15,0.3,$37812.00,13.827094%,0.798218%,9.896007%,5.649182%,59.135551%,1.098367%,3.913212%,0.868674%,0.282788%,1.386978%,95.949446%,91.11912%,11.461396%,5.149243%,0.716446%,76.195945%,76.417334%,1.55801%,15.651146%,12.06481%,62.031175%,19.048462%,9.16003%,57.041801%,10/01/2017
DE,9.9,,11.8,,11.5,,2.38,0.89,1.05,1.93,4.31,0.11,0.2,$21868.00,16.090078%,5.273409%,3.672935%,6.109377%,50.699694%,1.154316%,4.714549%,2.197044%,0.609635%,3.390652%,97.067311%,97.096117%,13.158349%,12.41337%,1.192733%,85.881567%,85.993047%,1.741427%,19.362399%,24.395942%,71.157747%,18.963432%,10.824304%,61.187118%,10/01/2017
FL,6,,6.8,,6.3,,2.84,0.95,0.82,1.77,4.6,0.13,0.4,$15991.00,13.238084%,3.799614%,5.903316%,7.033556%,53.484556%,1.554553%,3.785252%,1.197361%,0.493251%,2.785804%,93.447125%,95.276424%,15.53245%,10.705257%,0.566224%,85.820275%,88.915054%,2.142207%,17.143947%,26.88751%,68.550529%,22.969454%,9.934233%,55.461539%,10/01/2017
GA,4.1,,3.2,,3.3,,2.15,1.04,0.57,1.61,3.76,0.08,0.3,$24982.00,15.657082%,6.540105%,6.770266%,7.739292%,47.165017%,1.830211%,4.460222%,5.549547%,0.38966%,3.132874%,94.132092%,94.358759%,18.812738%,14.289826%,1.028064%,78.563129%,81.852814%,2.729762%,17.639702%,25.497068%,65.555199%,20.570799%,13.197565%,59.519018%,10/01/2017
GU,19,,12,,12,,2.86,1.54,2.72,4.26,7.12,0.22,0,$0.00,,0%,56.521741%,25.714286%,,5.817859%,0%,0%,0%,0%,95.744681%,97.222222%,5.882353%,10.902256%,1.350013%,94.2029%,93.846152%,1.877933%,,0%,30.231921%,,,,10/01/2017
HI,8.3,,6.4,,8.3,,2.65,0.4,1.72,2.12,4.76,0.11,0.4,$11108.00,10.970571%,5.714481%,3.140491%,7.92832%,49.554994%,1.520897%,3.061726%,1.986799%,0.5875%,2.125025%,96.278662%,95.768259%,7.376454%,12.059876%,0.597759%,81.295864%,83.333383%,0.483011%,18.37167%,10.236572%,68.964374%,15.916231%,8.32301%,68.717334%,10/01/2017
IA,4.8,,5.7,,5.7,,2.47,0.62,0.81,1.42,3.9,0.05,0.5,$15109.00,16.155115%,6.780844%,4.09712%,6.982627%,41.793062%,2.524036%,5.005721%,4.890584%,0.270918%,3.784226%,96.959047%,96.115714%,15.067348%,16.652329%,1.223942%,80.022402%,86.809511%,1.586272%,18.533208%,21.085624%,77.520997%,20.148221%,12.531382%,56.322011%,10/01/2017
ID,9,,9.8,,11.8,,2.8,0.85,0.98,1.83,4.63,0.16,0.7,$31621.00,15.224501%,10.160623%,3.102263%,6.028027%,47.971833%,2.469583%,4.295189%,5.057404%,0.26702%,2.574164%,96.684415%,95.715894%,17.541018%,20.085512%,0.485291%,83.097945%,87.532543%,1.718597%,17.900466%,20.505056%,67.949465%,15.866313%,12.011631%,62.932431%,10/01/2017
IL,9,,8.1,,7.9,,2.23,0.62,0.93,1.54,3.77,0.1,0.3,$6520.00,14.369325%,4.416657%,5.828888%,7.928265%,44.138587%,2.367801%,3.872806%,18.768368%,0.439672%,3.381204%,92.770355%,91.605395%,19.282911%,11.494292%,1.10647%,73.259664%,76.303924%,2.256204%,17.163331%,21.862088%,63.422257%,22.520159%,12.052556%,53.786339%,10/01/2017
IN,7.5,,7.4,,7.6,,2.22,0.92,0.91,1.83,4.05,0.11,0.3,$4723.00,16.560683%,5.293374%,5.971022%,7.816233%,51.16514%,1.714424%,3.343361%,8.629769%,0.302441%,3.632167%,93.797392%,92.634274%,15.533927%,14.028361%,1.148335%,80.265823%,81.635377%,2.002254%,17.530723%,22.212486%,65.310734%,19.844237%,11.597815%,55.644468%,10/01/2017
KS,10.2,,10.7,,10.8,,2.69,0.66,0.84,1.51,4.2,0.05,0.7,$22092.00,16.427201%,8.935896%,5.107754%,7.449898%,39.713404%,2.257053%,5.23953%,6.509367%,0.147653%,4.971415%,95.747751%,93.862356%,19.781854%,19.519034%,1.387709%,74.687482%,78.281984%,2.512289%,19.595936%,24.171245%,70.246724%,21.127016%,11.675984%,55.636317%,10/01/2017
KY,4.7,,5.8,,6.2,,2.47,0.91,0.89,1.79,4.26,0.09,0.4,$41505.00,16.704433%,6.947605%,5.895619%,7.885355%,49.360984%,2.323748%,4.78583%,2.617231%,0.990854%,3.786718%,95.147923%,95.172971%,19.416326%,16.622519%,1.175712%,83.724188%,85.066014%,2.830045%,21.092832%,31.817979%,59.754735%,20.666156%,13.735442%,53.852921%,10/01/2017
LA,3.6,,4.5,,4.9,,2.28,0.98,0.53,1.51,3.79,0.07,0.2,$6111.00,16.638451%,4.134108%,7.442479%,7.233024%,40.540235%,1.881884%,3.696636%,1.357254%,0.805301%,3.43133%,95.202565%,94.691888%,18.045941%,11.180487%,1.236542%,78.211847%,83.291222%,2.942061%,17.009754%,26.430941%,57.457735%,24.702083%,14.912577%,48.817525%,10/01/2017
MA,5.6,,4.9,,3.9,,2.35,0.85,0.91,1.76,4.11,0.1,0.6,$14251.00,14.748775%,4.602611%,4.541148%,5.937767%,54.362973%,1.537659%,3.698591%,2.503446%,0.66766%,3.402199%,95.432734%,92.612989%,17.997531%,14.186687%,0.92285%,82.670923%,79.235612%,1.561173%,18.09592%,20.613072%,60.135281%,23.04198%,11.341503%,57.518536%,10/01/2017
MD,11.3,,11.2,,11.3,,2.38,0.88,0.94,1.81,4.19,0.14,0.2,$32617.00,17.368715%,4.397625%,7.151354%,6.336982%,58.78844%,1.66659%,3.635767%,3.949974%,0.435013%,2.849295%,95.853977%,94.46898%,12.954837%,12.446284%,1.021953%,82.957966%,83.243194%,1.840288%,21.496396%,18.228611%,67.846591%,20.108992%,9.909207%,60.617223%,10/01/2017
ME,3.3,,3.6,,3.7,,3.06,0.49,1.12,1.6,4.67,0.12,0.1,$1069.00,13.65196%,9.944358%,4.453502%,8.72363%,61.096514%,2.03126%,5.064402%,8.831807%,0.212922%,3.809654%,95.292989%,92.434441%,17.432688%,21.227889%,0.932326%,81.8502%,79.609444%,1.463993%,22.536364%,19.073187%,71.020135%,19.213561%,14.156861%,60.342017%,10/01/2017
MI,11.5,,10.2,,9.1,,2.57,0.85,0.92,1.77,4.34,0.11,0.7,$12823.00,14.139423%,6.500901%,5.802496%,7.706335%,50.649056%,2.287694%,3.570983%,2.737494%,0.529294%,3.014948%,92.194758%,92.702858%,12.773698%,16.047121%,0.878228%,79.657744%,80.104506%,1.59775%,17.875075%,22.494759%,71.045914%,20.386132%,11.166549%,58.861914%,10/01/2017
MN,5.9,,6.8,,6.5,,2.6,0.7,0.94,1.64,4.24,0.09,0.2,$2485.00,14.413991%,9.614023%,4.337518%,7.278834%,51.142927%,2.163171%,3.417183%,4.200022%,0.149846%,4.103154%,96.711098%,95.664226%,13.80997%,20.776295%,0.978803%,82.234186%,84.490017%,1.614117%,17.058388%,13.092677%,75.540375%,20.299287%,11.989521%,62.835548%,10/01/2017
MO,6.5,,6.5,,6.5,,2.47,0.74,0.61,1.35,3.82,0.06,0.3,$8863.00,14.760628%,7.227588%,5.887111%,7.153897%,32.755157%,2.151126%,4.402339%,3.561556%,0.307593%,4.092553%,93.842541%,88.785274%,18.914656%,16.480283%,1.179374%,73.82589%,74.616558%,2.31411%,15.927513%,26.774396%,68.364757%,22.350346%,11.594232%,53.543336%,10/01/2017
MS,3.9,,4.4,,4.3,,2.36,1,0.78,1.78,4.14,0.06,0.2,$6316.00,16.744528%,8.177903%,6.97071%,7.84257%,49.214429%,2.030915%,4.753493%,1.41131%,1.650884%,3.281724%,96.690074%,97.039315%,19.201041%,15.672242%,0.937227%,84.251162%,87.084635%,2.973472%,18.481915%,26.441099%,62.428435%,23.793992%,13.324993%,52.601894%,10/01/2017
MT,8.3,,9.4,,8.9,,2.5,0.49,0.96,1.45,3.95,0.1,0.5,$21754.00,15.255076%,10.273795%,4.910605%,7.41055%,44.381667%,2.815276%,4.646223%,5.405224%,0.601638%,4.35603%,95.613126%,91.697305%,14.569972%,21.822488%,1.948581%,75.299226%,74.406141%,1.70399%,17.579209%,18.103194%,70.468016%,16.74869%,12.25602%,59.838627%,10/01/2017
NC,5.5,,4.9,,4.1,,2.4,0.91,0.75,1.65,4.05,0.12,0.6,$26217.00,18.140229%,6.583355%,7.113582%,8.730414%,55.826952%,1.782309%,4.625415%,2.521766%,0.300765%,3.475678%,93.905837%,93.071727%,13.491656%,14.736517%,0.943606%,81.57681%,83.41303%,1.842007%,23.517027%,29.626032%,64.953127%,20.794112%,12.870445%,58.691289%,10/01/2017
ND,7.2,,6.6,,7.6,,3.04,0.59,0.88,1.47,4.51,0.06,0.1,$3496.00,16.230423%,9.001057%,3.98606%,7.180743%,45.116024%,1.971964%,4.446201%,5.20619%,0.129888%,4.749084%,97.999623%,97.401769%,16.87498%,18.162211%,1.140455%,80.025958%,87.476265%,1.590915%,16.771075%,19.561002%,78.798057%,15.713491%,10.866744%,54.364078%,10/01/2017
NE,6.6,,6.5,,6.5,,2.57,0.71,0.82,1.53,4.1,0.07,0.2,$7239.00,15.908737%,9.291764%,4.131182%,7.255759%,46.820069%,2.74923%,4.963185%,5.315904%,0.204866%,4.441836%,96.885918%,94.724939%,18.388491%,20.021745%,1.245027%,80.748437%,83.606383%,2.141897%,19.861837%,21.894505%,75.641017%,19.11133%,8.824583%,56.524733%,10/01/2017
NH,3.3,,2.1,,2.6,,2.5,0.74,0.91,1.65,4.15,0.09,0,$102.00,16.939608%,7.541892%,3.969079%,7.02264%,46.516981%,1.935258%,3.756958%,4.203445%,0.358826%,4.573695%,97.92321%,97.902384%,16.091838%,15.430031%,1.4281%,87.757721%,87.699078%,1.402231%,20.314486%,20.384398%,72.699113%,19.057776%,13.932385%,57.278931%,10/01/2017
NJ,4.2,,4.8,,4.2,,2.27,0.82,0.99,1.81,4.07,0.17,0.1,$2400.00,11.796652%,2.193032%,6.273567%,6.805593%,39.966104%,1.549911%,2.584193%,1.837239%,0.664252%,2.404037%,96.708794%,95.953983%,11.4355%,6.737076%,0.706464%,87.52415%,89.079886%,1.37458%,14.322287%,20.92161%,69.982225%,21.810316%,9.852235%,59.257588%,10/01/2017
NM,12,,9.2,,8.4,,2.37,0.53,0.93,1.46,3.83,0.13,0.9,$28975.00,18.975928%,10.221915%,6.488997%,7.061345%,44.931914%,2.781489%,3.015887%,4.554389%,0.388823%,3.683758%,92.206891%,84.930587%,16.955735%,23.755926%,1.056804%,70.05244%,69.855707%,2.371552%,21.192332%,18.238301%,64.517737%,20.260175%,13.375579%,59.731865%,10/01/2017
NV,7.7,,8.6,,8.9,,2.5,0.96,1.04,2,4.5,0.14,0.2,$3578.00,15.585581%,8.509951%,6.825108%,5.835591%,47.1539%,2.737498%,3.689401%,2.426192%,0.392737%,2.495256%,89.959247%,87.660413%,15.831998%,16.676084%,0.671271%,76.500774%,76.799811%,2.441033%,20.972773%,24.785265%,61.830748%,21.163657%,12.011042%,57.139649%,10/01/2017
NY,5.1,,5.8,,5.6,,2.36,0.86,0.75,1.61,3.97,0.12,0.1,$1608.00,13.844167%,3.764549%,6.913825%,6.375131%,50.873597%,1.595385%,3.270461%,8.048321%,0.719707%,2.81304%,96.64497%,95.57942%,13.271734%,9.825488%,0.904955%,82.968956%,81.820741%,1.742815%,16.745175%,15.72729%,68.827091%,19.980392%,9.741812%,55.612254%,10/01/2017
OH,6.2,,5.9,,5,,2.29,0.94,0.85,1.78,4.07,0.08,0.4,$8359.00,15.079391%,5.485713%,5.058328%,7.609393%,42.476832%,1.535403%,3.312394%,12.748563%,0.308534%,3.511665%,94.961104%,95.28109%,16.768611%,15.218559%,0.737255%,82.637268%,86.005216%,2.108886%,18.337473%,24.400901%,65.941813%,21.681025%,12.491408%,58.244191%,10/01/2017
OK,8.4,,9,,11.6,,2.53,0.84,0.48,1.33,3.86,0.04,0.5,$10068.00,15.125599%,9.575768%,7.504782%,8.319544%,34.271285%,2.800383%,5.992001%,5.425315%,0.353567%,5.156078%,95.192053%,91.875819%,20.027899%,20.836098%,1.883611%,74.522122%,79.751131%,2.665534%,15.864352%,29.546057%,64.367334%,23.242651%,15.578752%,52.77307%,10/01/2017
OR,9.5,,8,,6.7,,3.22,0.77,0.89,1.66,4.88,0.16,0.5,$14879.00,12.21649%,11.240339%,5.18957%,7.599827%,51.733172%,3.334374%,4.128262%,3.0557%,0.434416%,3.046979%,92.437945%,92.720162%,14.657783%,19.811082%,0.632274%,78.842762%,80.260751%,1.388639%,18.312655%,15.949478%,70.629098%,20.353902%,14.832829%,64.967978%,10/01/2017
PA,8.1,,8.5,,6.8,,2.25,0.86,0.96,1.82,4.07,0.13,0.1,$4510.00,15.340465%,6.224776%,5.039632%,7.273388%,56.442882%,1.893274%,3.483266%,2.724589%,0.402636%,3.334612%,95.736906%,94.643703%,15.707275%,15.792448%,0.920696%,82.19426%,83.103595%,1.950315%,20.203417%,22.216242%,63.974061%,20.366555%,10.002326%,56.600482%,10/01/2017
PR,14.8,,15,,21.6,,0,2.37,3.73,6.1,6.1,0.53,1.2,$12702.00,,,,,,,,0%,0%,0%,,100%,0%,20.039309%,0.1602%,93.9981%,93.02471%,0.616822%,,16.666667%,77.536971%,14.160771%,11.184977%,68.132767%,10/01/2017
RI,2,,1.7,,2.2,,2.66,0.33,1.01,1.34,4,0.06,0.1,$1087.00,16.113342%,5.042945%,4.438774%,6.329265%,44.585609%,1.252257%,4.059935%,3.734794%,0.040515%,3.56862%,96.315634%,94.492559%,16.882513%,15.893658%,1.153184%,82.599447%,83.061556%,1.899049%,19.414757%,16.351427%,74.564216%,21.964687%,11.549238%,58.305645%,10/01/2017
SC,6.3,,5.7,,6.4,,2.51,0.99,0.88,1.87,4.38,0.11,0.4,$28677.00,14.835915%,5.157529%,6.746261%,8.649488%,54.410305%,1.889839%,5.230545%,1.388461%,1.259773%,3.115211%,93.722681%,93.974172%,14.44053%,13.23348%,0.937804%,81.677922%,82.823116%,1.900969%,18.74565%,25.353985%,66.778904%,21.041629%,12.714736%,60.147837%,10/01/2017
SD,5.4,,5.7,,6.9,,2.5,0.4,0.84,1.24,3.74,0.06,0.2,$8920.00,17.058039%,9.023095%,4.368179%,7.085558%,45.718521%,2.615433%,4.429182%,4.922666%,0.410147%,5.185358%,97.254027%,95.954813%,16.879611%,17.722399%,1.695794%,80.107887%,82.632075%,2.056384%,19.600276%,18.733303%,76.082341%,17.319337%,9.304482%,54.387628%,10/01/2017
TN,5.2,,4.9,,5.2,,2.24,1.07,0.77,1.84,4.08,0.11,0.3,$25057.00,15.972733%,4.734995%,5.351922%,7.955426%,56.705401%,2.109143%,4.953195%,2.130222%,1.151013%,3.199385%,93.414515%,92.501001%,17.449335%,12.260215%,0.718778%,80.885621%,82.936466%,2.301536%,21.369091%,36.481308%,64.824186%,20.509615%,12.591992%,58.398811%,10/01/2017
TX,7,,7.4,,7.5,,2.28,0.96,0.61,1.57,3.85,0.08,0.5,$15370.00,18.770517%,5.226818%,6.312439%,5.813409%,49.37341%,2.088755%,3.68198%,3.964415%,0.253538%,3.531395%,92.831444%,91.549512%,17.273942%,12.031248%,0.862988%,74.124022%,77.69003%,2.726614%,20.789816%,26.204471%,59.302558%,22.124962%,12.713004%,53.396621%,10/01/2017
UT,8.2,,7.2,,7.7,,2.63,0.58,1.38,1.96,4.59,0.2,0.4,$4621.00,13.227071%,9.681248%,5.038883%,5.679192%,48.588446%,2.029704%,4.786889%,7.383486%,0.297095%,3.349831%,94.238035%,96.373054%,16.436068%,16.963158%,0.930849%,87.914665%,90.704333%,1.501921%,17.033676%,28.545175%,62.513421%,15.918706%,11.444513%,62.514731%,10/01/2017
VA,9,,9,,8.8,,2.25,1.07,0.77,1.84,4.09,0.11,0.2,$16469.00,16.091519%,6.717992%,5.761387%,7.493435%,53.266006%,1.49822%,4.488529%,2.660902%,0.430334%,3.657251%,94.746125%,93.975059%,15.755259%,14.456099%,0.914602%,83.232887%,85.037004%,1.813588%,20.25667%,23.138665%,69.457504%,21.04472%,11.919261%,60.336246%,10/01/2017
VT,2.9,,5.6,,7,,2.44,0.8,0.93,1.72,4.16,0.1,0.4,$8891.00,19.429931%,8.298408%,4.107539%,7.172009%,51.346331%,2.784568%,3.838853%,8.69503%,0.063948%,5.023126%,94.986325%,91.386147%,16.510505%,16.731349%,0.827247%,74.807839%,76.888646%,1.75792%,23.801974%,19.021121%,76.742407%,16.079335%,11.954952%,61.21308%,10/01/2017
WA,13.5,,11.7,,9.5,,2.61,0.69,1.12,1.81,4.42,0.16,1,$26441.00,13.702984%,7.897463%,4.859248%,6.646718%,52.271257%,2.269789%,3.750044%,9.832154%,0.693486%,2.721499%,95.066513%,94.965269%,15.380918%,16.618517%,0.676751%,84.356972%,85.602002%,1.390183%,17.932367%,15.492844%,70.42001%,16.839675%,11.60592%,61.820054%,10/01/2017
WI,6.8,,8.5,,7.8,,2.57,0.57,1.01,1.58,4.14,0.08,0.6,$15974.00,13.950543%,7.658476%,4.642896%,7.455844%,46.866643%,2.774737%,3.612636%,5.119826%,0.22671%,3.599641%,96.81676%,98.109539%,12.674808%,18.5712%,0.793944%,86.423012%,90.040465%,1.152496%,18.345962%,18.834572%,74.484848%,19.047837%,12.596804%,60.899448%,10/01/2017
WV,8.8,,9.3,,11.2,,2.22,0.9,0.77,1.66,3.88,0.06,0.2,$30691.00,17.00162%,5.459668%,6.041132%,7.84142%,43.529394%,2.029967%,5.696296%,4.501959%,0.603231%,4.154768%,96.600532%,97.456568%,15.535779%,14.774317%,1.23434%,83.246192%,85.503798%,2.225341%,22.085641%,26.147667%,65.882285%,21.060278%,13.822367%,54.943397%,10/01/2017
WY,9.7,,10.8,,11.1,,2.43,0.39,1.25,1.64,4.06,0.07,0.1,$6413.00,16.119343%,10.417059%,5.315905%,6.567187%,42.806976%,2.38838%,4.36888%,4.507485%,0.693918%,4.441236%,95.23089%,85.457042%,13.147%,21.007826%,1.085833%,78.740411%,76.344264%,1.849149%,16.210022%,18.587502%,72.04544%,17.31304%,12.142808%,56.086865%,10/01/2017
